ingredient,amount
פלפלים,3344
שום,2688
בצל,2676
לימון,1588
עגבניות,1200
פטרוזיליה,1076
אורז,998
וניל,902
גזר,790
פירות,762
אגוזים,750
עוף,748
שוקולד,724
שמנת מתוקה,688
קינמון,598
פפריקה,578
סויה,570
בצל ירוק,560
שקדים,526
שומשום,506
סוכר חום,500
בשר,464
שמרים,462
דבש,446
בזיליקום,442
קוקוס,422
עדשים,372
גבינה,358
פטריות,340
רסק עגבניות,338
פירורי לחם,328
סילאן,326
קקאו,316
פרמזן,308
דגים,304
טחינה,294
חומוס,276
תפוזים,268
שמיר,266
כרוב,260
פסטה,248
ירקות,230
פרג,230
יוגורט,224
צימוקים,224
חציל,218
מייפל,210
דלעת,206
קישואים,202
יין לבן,198
צנוברים,198
תפוחי אדמה,198
תרד,198
תירס,190
מוצרלה,186
תותים,176
פודינג,160
כרובית,158
כרישה,148
זיתים,146
פרגית,144
קוסקוס,142
משמש,128
חסה,126
מנגו,126
קמח מלא,126
תמרים,126
מיץ תפוזים,124
סלק,124
חמוציות,122
סלמון,118
קפה,118
בננה,116
שוקולד לבן,116
אטריות,112
פתיתים,106
קשיו,104
ברוקולי,102
גבינת שמנת,100
טופו,96
שעועית ירוקה,96
גבינה צהובה,92
טונה,80
מנגולד,80
ריקוטה,80
אבוקדו,78
רוטב עגבניות,76
ארטישוק,74
גבינה בולגרית,72
בצק עלים,70
דובדבנים,70
עשבי תיבול,66
ערמונים,64
מסקרפונה,62
פיתה,60
אגוזי לוז,58
נוטלה,58
קטשופ,58
דלורית,56
מצה,56
פתי בר,54
טריאקי,50
פירות יער,46
חלב סויה,42
לוטוס,42
פסטו,42
שמנת לבישול,42
חלבה,40
קמח מצה,40
אוכמניות,38
בצק סוכר,38
חלב מרוכז,36
אטריות ביצים,36
פקאנים,36
שוקולד צ'יפס,36
אטריות אורז,32
קולורבי,32
תפוחי עץ,32
קצפת,30
ענבים,28
עלי לזניה,26
מרציפן,24
ריבה,24
ריבת חלב,24
דלעת ערמונים,20
דפי אורז,20
אוראו,18
קמח חומוס,18
גרנולה,16
מרשמלו,16
נוגט,16
קרמל,14
מרנג,12
בצק פריך,8
מלון,8
קוואקר,8
טפיוקה,6
פסיפלורה,6
קדאיף,6
ניוקי,4
פטריות מיובשות,4
רביולי,4
אבטיח,2
ג'לי,2
טורטיה,2
קמח ללא גלוטן,2
קרקרים,2
בצקניות,0
גבינה טבעונית,0
וופל,0
טורטליני,0
פיטאיה,0
קישוט עוגות,0
קרם פטיסייר,0
תפוזים סינים,0
